economy,time,SH.UHC.NOP1.CG,SH.UHC.NOP2.TO,SH.UHC.OOPC.25.ZS
MDA,YR2000,0.0116723,62000.0,2.721496
MDA,YR2004,0.0020215,66000.0,2.62093
MDA,YR2008,0.0006125,44000.0,3.556411
MDA,YR2012,0.0002752,20000.0,3.259568
MDG,YR1992,,,
MDG,YR1996,,,
MDG,YR2000,,,
MDG,YR2004,,,
MDG,YR2008,,,
MDG,YR2012,,,
MDV,YR1992,,,
MDV,YR1996,,,
MDV,YR2000,,,
MDV,YR2004,,,
MDV,YR2008,,,
MDV,YR2012,,,
MEA,YR1992,,,
MEA,YR1996,,,
MEA,YR2000,,4303000.0,1.41836702788375
MEA,YR2004,,,
MEA,YR2008,,,
MEA,YR2012,,,
MEX,YR1992,0.0,0.0,2.35568
MEX,YR1996,0.006559,1809000.0,2.76697
MEX,YR2000,0.0038752,1484000.0,2.44168
MEX,YR2004,0.0032095,1405000.0,2.74476
MEX,YR2008,0.0014503,1139000.0,1.50939
MEX,YR2012,0.0008136,834000.0,1.91183
MHL,YR1992,,,
MHL,YR1996,,,
MHL,YR2000,,,
MHL,YR2004,,,
MHL,YR2008,,,
MHL,YR2012,,,
MKD,YR1992,,,
MKD,YR1996,0.0005636,0.0,0.208131
MKD,YR2000,0.0039843,19000.0,0.5196086
MKD,YR2004,0.0008374,14000.0,0.8388327
MKD,YR2008,0.0009248,6000.0,0.5727806
MKD,YR2012,,,
MLI,YR1992,,,
MLI,YR1996,,,
MLI,YR2000,,,
MLI,YR2004,,,
MLI,YR2008,,,
MLI,YR2012,,,
MLT,YR1992,,,
MLT,YR1996,,,
MLT,YR2000,,,
MLT,YR2004,,,
MLT,YR2008,,,
MLT,YR2012,,,
MMR,YR1992,,,
MMR,YR1996,,,
MMR,YR2000,,,
MMR,YR2004,,,
MMR,YR2008,,,
MMR,YR2012,,,
MNE,YR1992,,,
MNE,YR1996,,,
MNE,YR2000,,,
MNE,YR2004,,,
