year,city,iso,country,region,olympic_type,population,GDP_constant_2010_USD,land_area_km_sq,notes,population_%,GDP_%,land_area_%
1992,Barcelona,SWZ,Swaziland,Africa,summer,906034,2461124289,17200,,0.0001713868898,0.00006463634913,0.0001554878089
1992,Barcelona,SWE,Sweden,Europe,summer,8668067,313712000000,410340,,0.001639665888,0.008238998107,0.00370946904
1992,Barcelona,CHE,Switzerland,Europe,summer,6875364,427956000000,39529,,0.001300555224,0.01123938094,0.0003573417208
1992,Barcelona,SYR,Syria,Asia,summer,13187085,25784666563,183780,,0.002494490806,0.0006771810419,0.001661369158
1992,Barcelona,TWN,Taiwan,Asia,summer,20717000,219000000000,35883,"1992 Population, UNDESA",0.00391886198,0.005751582934,0.0003243819213
1992,Barcelona,TZA,Tanzania,Africa,summer,27219619,12559770963,885800,,0.005148908144,0.0003298564581,0.008007622157
1992,Barcelona,THA,Thailand,Asia,summer,57837878,166157000000,510890,,0.01094070865,0.004363770619,0.004618439923
1992,Barcelona,TGO,Togo,Africa,summer,3973327,1968598335,54390,,0.0007516011061,0.00005170117164,0.0004916849956
1992,Barcelona,TON,Tonga,Oceania,summer,95496,258281571.8,720,,0.00001806418128,0.000006783232332,0.000006508791999
1992,Barcelona,TTO,Trinidad and Tobago,Americas,summer,1237487,8071273868,5130,,0.0002340850874,0.0002119753472,0.000046375143
1992,Barcelona,TUN,Tunisia,Africa,summer,8603225,20541670812,155360,,0.001627400268,0.0005394845812,0.001404452674
1992,Barcelona,TUR,Turkey,Asia,summer,55748875,386446000000,769630,,0.01054554939,0.01014920648,0.006957446648
1992,Barcelona,UGA,Uganda,Africa,summer,18652889,5751488264,199810,,0.00352841133,0.0001510509669,0.00180628018
1992,Barcelona,EUN,Unified Team,noregion,summer,148381251,433831208906,2055173,Unified Team is made up of states from the fomer Soviet Union,0.02806804282,0.01139368118,0.01857874108
1992,Barcelona,ARE,United Arab Emirates,Asia,summer,2086639,131085000000,83600,,0.000394712084,0.003442676936,0.000755743071
1992,Barcelona,USA,USA,Americas,summer,256514000,9379740000000,9158960,,0.04852261244,0.2463395092,0.08279689663
