economy,time,SE.SEC.ENRR
JOR,YR2016,
JPN,YR1992,97.2847290039063
JPN,YR1996,99.7709884643555
JPN,YR2000,
JPN,YR2004,
JPN,YR2008,
JPN,YR2012,
JPN,YR2016,102.372016906738
KAZ,YR1992,97.558952331543
KAZ,YR1996,
KAZ,YR2000,93.7032775878906
KAZ,YR2004,
KAZ,YR2008,
KAZ,YR2012,102.214492797852
KAZ,YR2016,113.250022888184
KEN,YR1992,
KEN,YR1996,
KEN,YR2000,38.7835693359375
KEN,YR2004,46.425838470459
KEN,YR2008,56.5935211181641
KEN,YR2012,
KEN,YR2016,
KGZ,YR1992,100.474998474121
KGZ,YR1996,77.5858535766602
KGZ,YR2000,84.7510070800781
KGZ,YR2004,88.2775497436523
KGZ,YR2008,
KGZ,YR2012,88.3713073730469
KGZ,YR2016,93.834716796875
KHM,YR1992,
KHM,YR1996,
KHM,YR2000,17.2854499816895
KHM,YR2004,31.3207492828369
KHM,YR2008,45.2158813476563
KHM,YR2012,
KHM,YR2016,
KIR,YR1992,39.1898193359375
KIR,YR1996,43.8573417663574
KIR,YR2000,63.5268211364746
KIR,YR2004,88.9751129150391
KIR,YR2008,86.9659881591797
KIR,YR2012,
KIR,YR2016,
KNA,YR1992,83.2733535766602
KNA,YR1996,
KNA,YR2000,111.951156616211
KNA,YR2004,92.9064483642578
KNA,YR2008,109.271690368652
KNA,YR2012,89.0208435058594
KNA,YR2016,106.914207458496
KOR,YR1992,91.8161468505859
KOR,YR1996,100.812080383301
KOR,YR2000,95.9592514038086
KOR,YR2004,97.1922988891602
KOR,YR2008,95.0455474853516
KOR,YR2012,97.8017578125
KOR,YR2016,100.485046386719
KWT,YR1992,53.0255088806152
KWT,YR1996,95.3441467285156
KWT,YR2000,91.0880584716797
KWT,YR2004,102.364097595215
KWT,YR2008,99.2489166259766
KWT,YR2012,96.4403228759766
KWT,YR2016,
LAC,YR1992,78.1315612792969
LAC,YR1996,81.4247131347656
LAC,YR2000,86.2284469604492
LAC,YR2004,86.8313598632813
LAC,YR2008,87.4349899291992
LAC,YR2012,89.5026702880859
LAC,YR2016,95.9359664916992
LAO,YR1992,20.2344093322754
LAO,YR1996,24.7626495361328
LAO,YR2000,34.1422004699707
LAO,YR2004,43.2256813049316
LAO,YR2008,44.1645011901855
LAO,YR2012,49.0311012268066
LAO,YR2016,66.3092422485352
LBN,YR1992,
LBN,YR1996,
LBN,YR2000,
LBN,YR2004,
LBN,YR2008,
LBN,YR2012,
LBN,YR2016,
LBR,YR1992,
LBR,YR1996,
LBR,YR2000,35.9372596740723
LBR,YR2004,
LBR,YR2008,
LBR,YR2012,
LBR,YR2016,
LBY,YR1992,
LBY,YR1996,
LBY,YR2000,
LBY,YR2004,
LBY,YR2008,
LBY,YR2012,
LBY,YR2016,
LCA,YR1992,61.9589500427246
LCA,YR1996,
LCA,YR2000,73.9931488037109
LCA,YR2004,73.8459777832031
LCA,YR2008,93.2836303710938
LCA,YR2012,89.4730377197266
LCA,YR2016,88.5339736938477
LCN,YR1992,77.7700805664063
LCN,YR1996,80.4735565185547
LCN,YR2000,85.2889099121094
LCN,YR2004,86.4943466186523
LCN,YR2008,87.3230514526367
LCN,YR2012,89.4151611328125
LCN,YR2016,95.7453765869141
LDC,YR1992,19.8469390869141
LDC,YR1996,23.9035491943359
LDC,YR2000,27.8224906921387
LDC,YR2004,31.4374008178711
LDC,YR2008,35.6034202575684
LDC,YR2012,41.4294395446777
LDC,YR2016,46.0543212890625
LIC,YR1992,21.6449394226074
LIC,YR1996,22.5686702728271
LIC,YR2000,24.1751708984375
LIC,YR2004,29.379789352417
LIC,YR2008,35.2605400085449
LIC,YR2012,39.7179489135742
LIC,YR2016,39.5195693969727
LIE,YR1992,
LIE,YR1996,
LIE,YR2000,
LIE,YR2004,110.761421203613
LIE,YR2008,107.566116333008
LIE,YR2012,110.373863220215
LIE,YR2016,116.028373718262
