economy,time,CC.EST,GE.EST,PV.EST,RQ.EST,VA.EST
BOL,YR1996,-0.8248291015625,-0.17498953640461,-0.134768322110176,0.00496884016320109,0.155518606305122
BOL,YR2000,-0.483501076698303,-0.309992283582687,-0.23706117272377,0.0159793049097061,0.189972907304764
BOL,YR2004,-0.809159338474274,-0.648214280605316,-0.680570840835571,-0.265374273061752,-0.170450285077095
BOL,YR2008,-0.528391659259796,-0.631037652492523,-0.696565806865692,-0.864422380924225,0.0029617075342685
BOL,YR2012,-0.727891862392426,-0.361267656087875,-0.45806810259819,-0.832377791404724,-0.0815852954983711
BOL,YR2016,-0.754407942295074,-0.57604306936264,-0.248866364359856,-1.00827693939209,-0.0363983437418938
BRA,YR1996,-0.0185795314610004,-0.143133714795113,-0.220460131764412,0.296933323144913,0.242076978087425
BRA,YR2000,0.0132387839257717,0.0430850870907307,0.18410162627697,0.258442431688309,0.301593601703644
BRA,YR2004,-0.0272687114775181,-0.0974992364645004,-0.275992810726166,0.0374141857028008,0.38860946893692
BRA,YR2008,0.00343736819922924,-0.157496109604836,-0.313424706459045,0.0770274102687836,0.5689857006073
BRA,YR2012,-0.0468542315065861,-0.169213905930519,0.0459616407752037,0.173244088888168,0.477906197309494
BRA,YR2016,-0.422299951314926,-0.221285507082939,-0.377205431461334,-0.179583877325058,0.451864898204803
BRB,YR1996,1.54272639751434,1.41403770446777,1.05037176609039,1.28882825374603,1.34296929836273
BRB,YR2000,1.51981151103973,1.38048672676086,1.15119981765747,1.25510835647583,1.26449751853943
BRB,YR2004,1.40898048877716,1.18496096134186,1.09435272216797,1.07933783531189,1.10496938228607
BRB,YR2008,1.35860872268677,1.5628160238266,1.06835830211639,0.881122231483459,0.946911215782166
BRB,YR2012,1.64828777313232,1.45407426357269,1.18596565723419,0.448699444532394,1.13297867774963
BRB,YR2016,1.25191020965576,1.07720279693604,0.976609885692596,0.477260142564774,1.08579421043396
BRN,YR1996,0.478994995355606,0.927289664745331,1.23704397678375,1.348304271698,-0.649972319602966
