economy,time,EF.EFM.OVRL.XD,EF.EFM.RANK.XD
LAO,YR2012,0.11197,99.0
LBN,YR1996,0.53152,60.0
LBN,YR2000,1.013,45.0
LBN,YR2004,0.95434,51.0
LBN,YR2008,1.2249,43.0
LBN,YR2012,0.9719,48.0
LBR,YR1996,2.98e-09,141.0
LBR,YR2000,0.0029908,139.0
LBR,YR2004,0.00048931,142.0
LBR,YR2008,0.0036677,139.0
LBR,YR2012,0.00090606,136.0
LBY,YR1996,4.35e-12,145.0
LBY,YR2000,0.00035726,143.0
LBY,YR2004,9.6e-05,144.0
LBY,YR2008,1.21e-08,145.0
LBY,YR2012,0.0,146.0
LTU,YR1996,1.0395,42.0
LTU,YR2000,0.92116,48.0
LTU,YR2004,0.96684,49.0
LTU,YR2008,1.298,37.0
LTU,YR2012,1.6277,33.0
LVA,YR1996,0.75909,49.0
LVA,YR2000,0.77959,54.0
LVA,YR2004,1.0166,45.0
LVA,YR2008,1.2258,42.0
LVA,YR2012,1.4044,38.0
MAR,YR1996,0.42687,70.0
MAR,YR2000,0.50539,69.0
MAR,YR2004,0.56818,64.0
MAR,YR2008,0.70816,62.0
MAR,YR2012,0.71654,56.0
MDG,YR1996,0.11219,95.0
MDG,YR2000,0.27727,81.0
MDG,YR2004,0.23172,86.0
MDG,YR2008,0.29869,80.0
MDG,YR2012,0.34843,77.0
MEX,YR1996,1.6776,26.0
MEX,YR2000,1.728,26.0
MEX,YR2004,1.7988,26.0
MEX,YR2008,1.6114,31.0
MEX,YR2012,1.7149,31.0
MKD,YR1996,0.70719,52.0
MKD,YR2000,0.48114,70.0
MKD,YR2004,0.4455,72.0
MKD,YR2008,0.42541,76.0
MKD,YR2012,0.49638,66.0
MLI,YR1996,0.031481,120.0
MLI,YR2000,0.12233,105.0
MLI,YR2004,0.043072,120.0
MLI,YR2008,0.043335,119.0
MLI,YR2012,0.046358,114.0
MLT,YR1996,0.52872,61.0
MLT,YR2000,0.29052,80.0
MLT,YR2004,0.36557,77.0
MLT,YR2008,0.28984,83.0
MLT,YR2012,0.35774,74.0
MMR,YR1996,0.052975,109.0
MMR,YR2000,0.11692,109.0
MMR,YR2004,0.099298,109.0
MMR,YR2008,0.095807,107.0
MMR,YR2012,0.1506,94.0
MNE,YR1996,,
MNE,YR2000,,
MNE,YR2004,,
MNE,YR2008,0.29097,82.0
MNE,YR2012,0.26456,83.0
MNG,YR1996,0.064401,107.0
MNG,YR2000,0.11794,108.0
MNG,YR2004,0.13602,99.0
MNG,YR2008,0.040691,120.0
MNG,YR2012,0.018205,126.0
MOZ,YR1996,0.031872,118.0
MOZ,YR2000,0.19746,92.0
MOZ,YR2004,0.050128,117.0
MOZ,YR2008,0.055609,115.0
MOZ,YR2012,0.037883,119.0
MRT,YR1996,0.0015827,134.0
MRT,YR2000,0.014042,129.0
MRT,YR2004,0.0054435,136.0
MRT,YR2008,0.0044861,137.0
MRT,YR2012,0.010682,128.0
MWI,YR1996,0.083728,104.0
MWI,YR2000,0.097179,112.0
MWI,YR2004,0.083129,113.0
MWI,YR2008,0.089576,109.0
MWI,YR2012,0.067498,109.0
MYS,YR1996,1.1634,37.0
MYS,YR2000,1.3703,35.0
MYS,YR2004,1.5012,32.0
MYS,YR2008,1.9739,25.0
MYS,YR2012,1.9909,24.0
NER,YR1996,0.10338,99.0
NER,YR2000,0.14546,100.0
NER,YR2004,0.061494,115.0
NER,YR2008,0.090326,108.0
NER,YR2012,0.023915,122.0
NGA,YR1996,0.0098886,128.0
NGA,YR2000,0.00081844,141.0
NGA,YR2004,0.0005056,141.0
NGA,YR2008,0.0077914,135.0
NGA,YR2012,0.013625,127.0
NIC,YR1996,0.12737,90.0
NIC,YR2000,0.15464,99.0
NIC,YR2004,0.12817,102.0
NIC,YR2008,0.16856,95.0
NIC,YR2012,0.18133,90.0
NLD,YR1996,4.7052,9.0
NLD,YR2000,3.9398,10.0
NLD,YR2004,3.9046,11.0
NLD,YR2008,3.6934,12.0
NLD,YR2012,3.269,12.0
NOR,YR1996,0.95932,44.0
NOR,YR2000,0.83635,53.0
NOR,YR2004,0.7963,57.0
NOR,YR2008,0.57004,69.0
NOR,YR2012,0.5093,65.0
NPL,YR1996,0.10277,100.0
NPL,YR2000,0.32289,76.0
NPL,YR2004,0.46974,71.0
NPL,YR2008,0.57569,68.0
NPL,YR2012,0.67358,59.0
NZL,YR1996,0.73081,50.0
NZL,YR2000,0.967,46.0
NZL,YR2004,1.0293,44.0
NZL,YR2008,0.90872,54.0
NZL,YR2012,0.75812,54.0
OMN,YR1996,0.099349,101.0
OMN,YR2000,0.13259,103.0
OMN,YR2004,0.10957,105.0
OMN,YR2008,0.084706,111.0
OMN,YR2012,0.092843,102.0
PAK,YR1996,0.44049,67.0
PAK,YR2000,0.54465,64.0
PAK,YR2004,0.96121,50.0
PAK,YR2008,1.0912,47.0
PAK,YR2012,1.1359,43.0
PAN,YR1996,0.61509,57.0
PAN,YR2000,1.2355,41.0
PAN,YR2004,1.0384,43.0
PAN,YR2008,2.1862,23.0
PAN,YR2012,2.3655,22.0
PER,YR1996,0.27147,76.0
PER,YR2000,0.39814,73.0
PER,YR2004,0.36198,78.0
PER,YR2008,0.36422,78.0
PER,YR2012,0.47741,67.0
PHL,YR1996,0.72516,51.0
PHL,YR2000,0.77543,55.0
PHL,YR2004,0.86137,53.0
PHL,YR2008,1.0594,48.0
PHL,YR2012,1.4679,36.0
POL,YR1996,1.8825,23.0
POL,YR2000,2.14,20.0
POL,YR2004,2.2328,19.0
POL,YR2008,2.4522,17.0
POL,YR2012,2.5792,17.0
PRK,YR1996,1.3306,34.0
PRK,YR2000,1.5543,30.0
PRK,YR2004,1.1336,39.0
PRK,YR2008,1.0349,49.0
PRK,YR2012,0.6531,60.0
PRT,YR1996,1.3322,33.0
PRT,YR2000,1.7137,27.0
PRT,YR2004,1.8734,23.0
PRT,YR2008,2.3376,20.0
PRT,YR2012,2.4979,19.0
PRY,YR1996,0.12635,91.0
